output_products/code,output_products/name,name,routing/name
LCP-B1-MD-F3,"Lifetime Pro Collar - 1"" Black / Medium with Fi S3",LCP-B1-MD-F3,LCP Custom
LCP-B1-LG-F3,"Lifetime Pro Collar - 1"" Black / Large with Fi S3",LCP-B1-LG-F3,LCP Custom
LCP-W1-SM-F3,"Lifetime Pro Collar - 1"" Wolf / Small with Fi S3",LCP-W1-SM-F3,LCP Custom
LCP-W1-MD-F3,"Lifetime Pro Collar - 1"" Wolf / Medium with Fi S3",LCP-W1-MD-F3,LCP Custom
LCP-W1-LG-F3,"Lifetime Pro Collar - 1"" Wolf / Large with Fi S3",LCP-W1-LG-F3,LCP Custom
LCP-O1-SM-F3,"Lifetime Pro Collar - 1"" Olive / Small with Fi S3",LCP-O1-SM-F3,LCP Custom
LCP-O1-MD-F3,"Lifetime Pro Collar - 1"" Olive / Medium with Fi S3",LCP-O1-MD-F3,LCP Custom
LCP-O1-LG-F3,"Lifetime Pro Collar - 1"" Olive / Large with Fi S3",LCP-O1-LG-F3,LCP Custom
LCP-C1-SM-F3,"Lifetime Pro Collar - 1"" Coyote / Small with Fi S3",LCP-C1-SM-F3,LCP Custom
LCP-C1-MD-F3,"Lifetime Pro Collar - 1"" Coyote / Medium with Fi S3",LCP-C1-MD-F3,LCP Custom
LCP-C1-LG-F3,"Lifetime Pro Collar - 1"" Coyote / Large with Fi S3",LCP-C1-LG-F3,LCP Custom
LCP-B-MD-H,"Lifetime Pro Collar-Black / Medium (16""-22"") with Handle",LCP-B-MD-H,LCP Custom
LCP-B-LG-H,"Lifetime Pro Collar-Black / Large (20""-30"") with Handle",LCP-B-LG-H,LCP Custom
LCP-W-MD-H,"Lifetime Pro Collar-Wolf / Medium (16""-22"") with Handle",LCP-W-MD-H,LCP Custom
LCP-W-LG-H,"Lifetime Pro Collar-Wolf / Large (20""-30"") with Handle",LCP-W-LG-H,LCP Custom
LCP-O-MD-H,"Lifetime Pro Collar-Olive / Medium (16""-22"") with Handle",LCP-O-MD-H,LCP Custom
LCP-O-LG-H,"Lifetime Pro Collar-Olive / Large (20""-30"") with Handle",LCP-O-LG-H,LCP Custom
LCP-C-MD-H,"Lifetime Pro Collar-Coyote / Medium (16""-22"") with Handle",LCP-C-MD-H,LCP Custom
LCP-C-LG-H,"Lifetime Pro Collar-Coyote / Large (20""-30"") with Handle",LCP-C-LG-H,LCP Custom
LCP-B1-SM-H,"Lifetime Pro Collar - 1"" Black / Small with Handle",LCP-B1-SM-H,LCP Custom
LCP-B1-MD-H,"Lifetime Pro Collar - 1"" Black / Medium with Handle",LCP-B1-MD-H,LCP Custom
LCP-B1-LG-H,"Lifetime Pro Collar - 1"" Black / Large with Handle",LCP-B1-LG-H,LCP Custom
LCP-W1-SM-H,"Lifetime Pro Collar - 1"" Wolf / Small with Handle",LCP-W1-SM-H,LCP Custom
LCP-W1-MD-H,"Lifetime Pro Collar - 1"" Wolf / Medium with Handle",LCP-W1-MD-H,LCP Custom
LCP-W1-LG-H,"Lifetime Pro Collar - 1"" Wolf / Large with Handle",LCP-W1-LG-H,LCP Custom
LCP-O1-SM-H,"Lifetime Pro Collar - 1"" Olive / Small with Handle",LCP-O1-SM-H,LCP Custom
LCP-O1-MD-H,"Lifetime Pro Collar - 1"" Olive / Medium with Handle",LCP-O1-MD-H,LCP Custom
LCP-O1-LG-H,"Lifetime Pro Collar - 1"" Olive / Large with Handle",LCP-O1-LG-H,LCP Custom
LCP-C1-SM-H,"Lifetime Pro Collar - 1"" Coyote / Small with Handle",LCP-C1-SM-H,LCP Custom
LCP-C1-MD-H,"Lifetime Pro Collar - 1"" Coyote / Medium with Handle",LCP-C1-MD-H,LCP Custom
LCP-C1-LG-H,"Lifetime Pro Collar - 1"" Coyote / Large with Handle",LCP-C1-LG-H,LCP Custom
